id|name|stock_name|price|quantity|start_date
358|Roland Skowcraft|Great Southern Bancorp, Inc.|6893.95|595|2020-04-12
359|Ilise Inwood|Stoneridge, Inc.|3461.08|928|2019-06-08
360|Sayers Purnell|Validea Market Legends ETF|1704.29|312|2019-04-16
361|Nanice Dumbrall|Aviragen Therapeutics, Inc.|5854.17|907|2020-04-02
362|Shaylynn De Andisie|Timberland Bancorp, Inc.|3402.71|6|2019-02-08
363|Imogen Leetham|MainSource Financial Group, Inc.|3759.26|506|2020-08-05
364|Olva Partington|American Financial Group, Inc.|8020.19|204|2020-02-28
365|Bonny Casino|Wendy's Company (The)|5619.67|506|2019-04-19
366|Felike Linklater|LPL Financial Holdings Inc.|8533.69|241|2019-02-28
367|Rosamond Giorgioni|Vedanta  Limited|9599.71|378|2019-08-21
368|Kalil Cirlos|WEC Energy Group, Inc.|8989.51|937|2020-06-11
369|Jo Strapp|American Homes 4 Rent|3455.65|24|2019-08-17
370|Ike Rostern|Adaptimmune Therapeutics plc|5135.36|737|2020-03-27
371|Chantal Wheildon|BioDelivery Sciences International, Inc.|3093.69|840|2019-08-09
372|Bowie Shoebrook|Phillips 66|6455.74|897|2019-03-29
373|Robena Renvoys|Achillion Pharmaceuticals, Inc.|7379.76|305|2019-09-05
374|Jaimie McClunaghan|Guaranty Bancshares, Inc.|9871.10|597|2020-06-10
375|Saloma Scammell|AAR Corp.|1067.05|409|2019-05-30
376|Agatha Lufkin|Blackrock Debt Strategies Fund, Inc.|7278.45|566|2019-10-17
377|Adi Seeley|The First of Long Island Corporation|1490.55|998|2019-04-15
378|Hallie Phizackerly|Strattec Security Corporation|4965.55|975|2019-04-05
379|Aharon Bawme|Tortoise Power and Energy Infrastructure Fund, Inc|7283.93|303|2020-02-07
380|Jacquetta Ginsie|Liberty Media Corporation|7331.34|809|2019-11-12
381|Gabi Laugharne|VALE S.A.|8663.23|806|2020-05-30
382|Moishe Hecks|BBVA Banco Frances S.A.|3873.92|479|2020-05-02
383|Jayson Rolfi|Dynegy Inc.|7680.62|136|2020-02-04
384|Dennet Belsham|Revance Therapeutics, Inc.|9807.98|295|2019-07-05
385|Grace Lademann|Finjan Holdings, Inc.|4926.58|786|2020-05-31
386|Dwain Dawber|ARRIS International plc|8207.98|590|2019-04-11
387|Dannel Bontein|Teladoc, Inc.|7367.75|794|2019-10-09
388|Roarke Leftley|Titan International, Inc.|3003.80|798|2019-05-21
389|Bevan Lisamore|CorEnergy Infrastructure Trust, Inc.|2501.89|324|2020-04-19
390|Gayler Terren|Sarepta Therapeutics, Inc.|2296.59|617|2020-06-02
391|Alvinia Richmont|FTD Companies, Inc.|6704.05|878|2020-01-29
392|Goddard Cow|Pembina Pipeline Corp.|8968.73|272|2020-05-03
393|Abdel Paolino|Banc of California, Inc.|3540.72|381|2020-03-09
394|Charlotta Perham|Comerica Incorporated|3175.23|27|2019-10-13
395|Aksel Haughton|Bancorp 34, Inc.|9310.37|790|2020-01-31
396|Micheal Taffs|Five9, Inc.|5056.92|505|2019-03-08
397|Quillan Kenset|Bank of America Corporation|5146.49|351|2020-05-16
398|Alexis Trownson|Meritor, Inc.|3136.40|751|2020-01-16
399|Brandon Grady|Progressive Corporation (The)|1941.39|365|2019-12-12
400|Dasha Ronaghan|WisdomTree Japan Hedged SmallCap Equity Fund|9620.90|633|2019-12-23
401|Odelle Linkie|Barnes Group, Inc.|5777.51|771|2020-01-25
402|Clayborn Wigginton|Ecopetrol S.A.|6782.39|40|2019-04-13
403|Susanetta Tindley|A V Homes, Inc.|5414.30|825|2020-07-17
404|Gram Mullis|Chemical Financial Corporation|7973.74|240|2020-08-02
405|Mannie Yeld|Otonomy, Inc.|2463.38|935|2020-01-12
406|Karoly Salters|Gulf Island Fabrication, Inc.|4469.94|118|2019-04-10
407|Gisella Dowse|NCI Building Systems, Inc.|2767.86|97|2019-11-23
408|Willow Fenty|Helix Energy Solutions Group, Inc.|3307.52|804|2019-02-14
409|Carlynn Thomas|NIC Inc.|2936.56|899|2020-03-24
410|Tuckie Tettersell|NeuroDerm Ltd.|7819.68|165|2019-04-26
411|Anneliese Fransemai|Anheuser-Busch Inbev SA|6382.12|152|2020-08-07
412|Mikey Hurley|Aptevo Therapeutics Inc.|4515.26|507|2019-01-28
413|Sena Shropshire|Plains Group Holdings, L.P.|8875.44|617|2019-05-28
414|Ellie Eberz|PNC Financial Services Group, Inc. (The)|7512.19|355|2020-01-23
415|Aldwin Fullegar|Marchex, Inc.|7868.46|889|2020-01-02
416|Kirsten Palmer|Electronic Arts Inc.|3450.86|970|2019-08-26
417|Dukie Scholes|ASB Bancorp, Inc.|3387.88|220|2020-02-04
418|Barron Farquhar|Mid Penn Bancorp|2693.76|837|2020-06-15
419|Teresita Mendel|Teradata Corporation|1871.05|113|2019-06-02
420|Margarethe Diggle|Care.com, Inc.|5873.38|932|2020-07-12
421|Bendite Stanwix|Limelight Networks, Inc.|3738.22|656|2020-02-21
422|Deena Caurah|My Size, Inc.|8943.97|585|2019-04-02
423|Peggi Bolderson|Extreme Networks, Inc.|6495.72|912|2019-03-16
424|Maude Martinon|FIRST REPUBLIC BANK|1682.00|33|2020-05-14
425|Keene Dominka|Flex Ltd.|6621.59|828|2020-05-29
426|Sallie Hacard|Ivy High Income Opportunities Fund|5380.02|118|2019-09-25
427|Tara Hurdiss|Commerce Union Bancshares, Inc.|1056.09|938|2019-12-30
428|Olympie Allnatt|Citigroup Inc.|1373.47|30|2019-07-29
429|Pierce Rickesies|Granite Construction Incorporated|3492.26|772|2019-03-12
430|Blithe Barbara|Applied Optoelectronics, Inc.|9552.92|530|2020-01-01
431|Laurice Hand|AstroNova, Inc.|4787.15|909|2019-06-06
432|Rogers Bowland|ABM Industries Incorporated|6128.66|719|2020-03-09
433|Ailina Kurt|Telephone and Data Systems, Inc.|3839.91|565|2020-03-08
434|Claybourne Tomasek|Signature Bank|8838.74|250|2019-01-03
435|Vaclav Blackah|Arconic Inc.|4033.57|3|2020-04-04
436|Alix Elby|Allstate Corporation (The)|1572.83|621|2019-09-07
437|Fielding Laverty|Amec Plc Ord|6636.38|129|2019-05-11
438|Jorgan O'Fergus|First Trust Emerging Markets Local Currency Bond ETF|4571.24|226|2019-01-10
439|Ailey Chasteau|Interpublic Group of Companies, Inc. (The)|1672.31|272|2019-09-10
440|Flint O'Ferris|Select Bancorp, Inc.|2955.42|373|2019-08-03
441|Kathlin Pollett|Noodles & Company|9420.76|286|2019-08-05
442|Zelda Caughtry|PowerShares S&P SmallCap Health Care Portfolio|8027.57|250|2019-11-05
443|Pammi Hinzer|Waterstone Financial, Inc.|3278.16|552|2019-05-10
444|Ichabod Antonias|Nuveen Credit Strategies Income Fund|3559.49|486|2020-04-26
445|Saloma Lannon|Emerson Electric Company|7557.28|918|2020-04-09
446|Josie Hagley|American Financial Group, Inc.|1147.60|194|2019-08-10
447|Mayor Grinston|Advent/Claymore Enhanced Growth & Income Fund|3697.88|460|2019-01-26
448|Netti Barnaclough|Presidio, Inc.|2970.13|784|2020-05-28
449|Connie Sarginson|Nuveen Massachusetts Municipal Income Fund|2726.09|189|2019-09-04
450|Emiline McMorran|Anthera Pharmaceuticals, Inc.|5710.06|948|2020-05-09
451|Verine Cutbush|Royal Bancshares of Pennsylvania, Inc.|3304.38|276|2019-06-17
452|Vikky Cram|Eaton Vance Municipal Income Trust|2226.40|896|2019-03-09
453|Ailsun Savine|Calamos Convertible Opportunities and Income Fund|1035.19|611|2020-07-28
454|Thayne Blodg|Isramco, Inc.|4606.03|300|2019-08-18
455|Feliks Dodgshun|NetEase, Inc.|4737.99|423|2020-02-22
456|Clair Pownall|CDW Corporation|3567.38|88|2019-06-05
457|Violante Siddons|Acxiom Corporation|3504.54|328|2019-04-12
458|Sacha Kaufman|Apollo Global Management, LLC|7164.93|123|2020-02-08
459|Bastien Klauber|Galena Biopharma, Inc.|5527.48|267|2019-05-04
460|Ailina Killgus|Lowe's Companies, Inc.|2985.53|555|2020-02-20
461|Alfredo Nelsey|World Acceptance Corporation|6511.15|562|2019-09-11
462|Sharona Malam|Azul S.A.|6599.74|342|2020-05-11
463|Madge McCreagh|American Homes 4 Rent|9968.15|380|2020-01-04
464|Georgia Henden|First Trust High Income Long Short Fund|2365.04|866|2020-07-25
465|Elsie McGettrick|Oxbridge Re Holdings Limited|5553.79|185|2019-01-29
466|Bronnie Yellowley|Malvern Bancorp, Inc.|8520.16|117|2019-11-17
467|Greg Delaney|Concurrent Computer Corporation|5059.19|490|2020-01-13
468|Mile Gover|Zions Bancorporation|9371.92|24|2019-12-18
469|Abraham Orleton|Lexicon Pharmaceuticals, Inc.|2628.63|662|2020-05-06
470|Quinn Dowears|Neustar, Inc.|8084.89|567|2019-04-17
471|Ham Folini|Organovo Holdings, Inc.|1329.20|917|2020-02-22
472|Simon Jenney|Rexnord Corporation|3808.13|330|2019-11-24
473|Ogdon Digman|Exxon Mobil Corporation|8040.89|768|2020-06-03
474|Brigitta Calbert|ScanSource, Inc.|6365.93|732|2019-09-09
475|Standford Ivakhin|Eaton Vance Tax-Advantaged Bond|3124.76|979|2019-10-12
476|Mel Daffey|Kroger Company (The)|4657.21|212|2019-04-08
477|Keane Tarbard|MRV Communications, Inc.|7025.67|952|2020-06-26
478|Jennee Podbury|Axovant Sciences Ltd.|9562.99|70|2020-02-21
479|Gabbie Tompkin|Alphatec Holdings, Inc.|5684.36|364|2019-08-09
480|Norry Hatzar|EPR Properties|9614.02|196|2020-04-20
481|Raul Musker|Old National Bancorp|9587.07|325|2019-11-09
482|Lona Cristofolini|Agrium Inc.|4047.53|628|2019-04-25
483|Anna Bruton|Novo Nordisk A/S|2503.05|955|2019-04-13
484|Jerrilyn Ivashnyov|Howard Hughes Corporation (The)|1376.81|95|2019-01-31
485|Massimo Bowles|People's United Financial, Inc.|6488.58|723|2019-11-05
486|Adlai Mealing|TransAct Technologies Incorporated|3729.49|595|2020-04-20
487|Madge Joyner|Advanced Disposal Services, Inc.|1718.51|628|2019-01-05
488|Warde Scardefield|HMN Financial, Inc.|8289.33|627|2019-11-12
489|Lynnell Tante|First Trust|6613.69|505|2019-10-04
490|June Eyrl|Morgan Stanley|4579.31|800|2019-09-05
491|Walther Krysiak|Bank of America Corporation|9023.60|29|2019-12-19
492|Renaud Coburn|Perion Network Ltd|8323.42|937|2019-12-08
493|Cornie Jarritt|Geron Corporation|1289.03|530|2019-01-07
494|Kara-lynn Bignell|Nuveen Connecticut Quality Municipal Income Fund|5913.85|154|2019-03-10
495|Wilt Crowd|Public Storage|1845.26|343|2020-04-15
496|Cull Dorwood|Tsakos Energy Navigation Ltd|7791.61|174|2019-12-25
497|Milicent Menendez|Ingevity Corporation|9022.55|343|2019-07-13
498|Shaine McCritchie|Alliqua BioMedical, Inc.|5915.43|781|2020-06-23
499|Alis Wilkennson|Cohen & Steers Global Income Builder, Inc.|3180.40|836|2020-02-11
500|Kelsi Cawthra|SM Energy Company|2970.26|977|2019-02-23
501|Anabella Stenet|Texas Capital Bancshares, Inc.|6625.58|54|2020-06-20
502|Emery Wurst|Chimera Investment Corporation|1709.67|134|2020-04-26
503|Kiley Springtorpe|WGL Holdings Inc|6221.12|936|2019-07-21
504|Valentia Pering|CRISPR Therapeutics AG|5161.30|258|2020-07-03
505|Karlan Dover|The Long-Term Care ETF|3959.81|772|2019-04-01
506|Ralf Mouth|Pennsylvania Real Estate Investment Trust|3334.57|6|2019-01-31
507|Allegra Feitosa|NorthStar Realty Europe Corp.|3582.90|384|2020-06-23
508|Ian Dyble|SunOpta, Inc.|4383.11|281|2019-10-10
509|Garvey Mattiazzi|MRV Communications, Inc.|6499.44|48|2020-03-13
510|Wolfgang Riddington|American States Water Company|5194.48|157|2019-05-14
511|Rosemaria Skynner|Heico Corporation|1096.35|846|2020-04-23
512|Katha Perkis|Alpine Global Dynamic Dividend Fund|6840.34|267|2019-08-10
513|Sigrid Nodes|Rocky Brands, Inc.|6932.13|375|2019-08-08
514|Tonia Arstall|Southern Missouri Bancorp, Inc.|9696.66|505|2019-11-07
515|Melissa Knightly|GP Investments Acquisition Corp.|4643.70|658|2019-06-24
516|Lib McSperron|Colonial High Income Municipal Trust|9901.71|973|2019-12-15
517|Esmeralda Ceschi|Churchill Downs, Incorporated|6909.14|38|2020-02-21
518|Jo-ann Weightman|Hugoton Royalty Trust|4448.38|526|2019-08-06
519|Carolus Camilio|U.S. Energy Corp.|1191.31|905|2020-02-18
520|Stevana Edmondson|Superconductor Technologies Inc.|7834.98|709|2019-11-23
521|Peg Stolte|Canadian Solar Inc.|4413.18|15|2019-08-04
522|Celinka Creasy|Eaton Vance Enhanced Equity Income Fund II|2805.33|249|2019-05-13
523|Alanah Whitecross|PowerShares KBW Regional Banking Portfolio|7894.03|767|2019-07-29
524|Gerladina Kellar|AstroNova, Inc.|2511.86|675|2019-10-29
525|Hilarius Billington|Neustar, Inc.|5936.40|634|2019-01-01
526|Yasmeen Lesley|The Priceline Group Inc. |2583.25|877|2020-07-24
527|Wendall Littlejohns|Blackrock MuniVest Fund II, Inc.|4301.69|565|2019-01-05
528|Dot Staterfield|Cadence Design Systems, Inc.|7355.28|66|2019-04-17
529|Merwyn Pattullo|Fox Factory Holding Corp.|6160.74|493|2020-04-20
530|Nomi Melmore|Nature's Sunshine Products, Inc.|4438.74|283|2019-10-30
531|Shaine Gindghill|Comstock Resources, Inc.|6666.66|578|2020-05-19
532|Jenna Sprules|Good Times Restaurants Inc.|8310.64|972|2020-03-11
533|Doreen Wipper|Colonial Municipal Income Trust|4552.29|767|2019-02-27
534|Rik Callicott|Blackstone GSO Long Short Credit Income Fund|8745.80|852|2019-06-25
535|Rickard Imlach|Goldman Sachs MLP Energy Renaissance Fund|4190.52|407|2019-06-23
536|Boigie Hearn|AmeriGas Partners, L.P.|6839.68|231|2019-05-28
537|Forbes Steel|Evertec, Inc.|9778.39|24|2020-06-07
538|Guglielmo Brenard|AAON, Inc.|6823.40|947|2020-03-20
539|Eleonore Cash|Bravo Brio Restaurant Group, Inc.|6376.92|441|2019-11-25
540|Chelsae Cheyne|WisdomTree Interest Rate Hedged High Yield Bond Fund|6884.29|503|2019-12-08
541|Thorin Bush|Matthews International Corporation|9585.11|770|2019-07-15
542|Truda Dukelow|Full House Resorts, Inc.|3928.48|189|2019-08-05
543|Ramon Verbeke|Altimmune, Inc.|1269.22|561|2019-08-22
544|Ruben Banck|SunTrust Banks, Inc.|6659.72|735|2020-06-21
545|Genvieve Shoesmith|City Holding Company|4125.00|767|2019-06-21
546|Christabella Ducastel|SciClone Pharmaceuticals, Inc.|5597.25|584|2019-12-17
547|Myles Caville|The Kraft Heinz Company|9086.77|17|2020-05-01
548|Ransell Elford|Garmin Ltd.|4553.00|386|2019-06-26
549|Merridie Pavey|iShares MSCI Global Impact ETF|7681.65|32|2019-03-07
550|Milena Shorter|Callidus Software, Inc.|4238.47|536|2020-04-24
551|Webster Bes|GlaxoSmithKline PLC|9039.76|524|2019-10-27
552|Kay Greenless|Dycom Industries, Inc.|1330.77|35|2019-07-03
553|Curry Bovey|CABCO Series 2004-101 Trust|2067.99|831|2019-03-17
554|Pat Djurevic|Freeport-McMoran, Inc.|3724.23|319|2020-01-16
555|Conway Douse|Progenics Pharmaceuticals Inc.|4265.13|337|2020-05-27
556|Damien Meake|Apollo Endosurgery, Inc.|4859.54|467|2020-05-06
557|Dael Kneaphsey|PowerShares KBW Property & Casualty Insurance Portfolio|6068.29|902|2019-05-28
558|Neall Rablen|Virtusa Corporation|3873.32|488|2019-09-08
559|Emelia Bernardini|Consolidated Communications Holdings, Inc.|9695.85|266|2019-05-01
560|Edsel Filipov|Patriot Transportation Holding, Inc.|1548.89|283|2020-07-02
561|Silvia MacNaughton|America Movil, S.A.B. de C.V.|8126.24|623|2019-12-11
562|Nyssa Barstowk|Terex Corporation|3047.03|676|2019-01-06
563|Burgess Moncey|Destination XL Group, Inc.|5377.77|150|2019-12-22
564|Benjamin Cossell|Western Asset/Claymore U.S. Treasury Inflation Prot Secs Fd|9058.39|599|2019-05-01
565|Ninette Caple|Nuveen Credit Opportunities 2022 Target Term Fund|4748.29|548|2020-06-29
566|Seana Sutterfield|Giga-tronics Incorporated|9282.82|200|2019-03-02
567|Mireille Anderbrugge|Sasol Ltd.|6712.22|806|2019-03-13
568|Bailie Kellen|Barrett Business Services, Inc.|7252.27|411|2019-05-06
569|Carlynn Doogan|Flushing Financial Corporation|6622.23|416|2020-04-14
570|Micah Byfford|CSRA Inc.|7448.70|216|2019-04-08
571|Beverly Putson|Gartner, Inc.|7173.93|580|2020-03-30
572|Daryl Simoens|Quorum Health Corporation|1674.89|329|2020-02-12
573|Desmund Harsnipe|Blackstone GSO Long Short Credit Income Fund|6030.63|214|2019-10-28
574|Emelia Morland|WNS (Holdings) Limited|4173.64|178|2020-08-06
575|Garrett Kidstone|NuVasive, Inc.|4336.95|424|2020-06-19
576|Hyacintha Takos|WVS Financial Corp.|3915.77|375|2019-12-19
577|Emile Dumelow|JMP Group LLC|9175.21|183|2020-08-10
578|Steven Emma|Ryder System, Inc.|4418.03|355|2019-08-14
579|Ramsey Ferier|Marinus Pharmaceuticals, Inc.|8865.40|198|2019-05-12
580|Ardenia Samwayes|National Retail Properties|3316.56|283|2020-04-26
581|Addison Bottrell|Astoria Financial Corporation|8436.77|842|2019-09-24
582|Garwin Methley|Jacksonville Bancorp Inc.|9965.59|299|2020-07-17
583|Doralia Guild|Voya Global Advantage and Premium Opportunity Fund|3731.55|779|2019-05-12
584|Axe Daybell|Bio-Rad Laboratories, Inc.|3184.04|457|2020-04-02
585|Xaviera Whickman|Aurinia Pharmaceuticals Inc|7360.37|89|2019-08-22
586|Marigold Lowless|Verona Pharma plc|5993.44|34|2019-02-11
587|Ario Kasting|Genocea Biosciences, Inc.|3982.78|337|2019-10-22
588|Beck Frisdick|NextEra Energy, Inc.|1564.86|345|2020-04-27
589|Rafe Bailles|Sierra Oncology, Inc.|5656.26|469|2019-10-25
590|Jolene Harvard|CarMax Inc|3516.57|558|2020-05-16
591|Spencer Vasilyev|Ellie Mae, Inc.|5569.81|282|2019-02-21
592|Susanetta Rhymes|Gabelli Utility Trust (The)|1449.28|384|2020-02-27
593|Colet Carradice|Town Sports International Holdings, Inc.|2272.04|640|2020-01-23
594|Inesita O'Sheeryne|Celldex Therapeutics, Inc.|5779.78|914|2019-12-18
595|Estele Pesticcio|Leaf Group Ltd.|7607.06|482|2020-08-11
596|Karen Dalton|Gulf Island Fabrication, Inc.|7700.79|495|2020-02-09
597|Blaire MacKintosh|Tocagen Inc.|2107.84|598|2019-08-31
598|Monroe Coiley|Medovex Corp.|1288.92|182|2020-02-11
599|Georgine Adan|TravelCenters of America LLC|9951.69|835|2019-02-19
600|Glenda Calderhead|iPath US Treasury 10-year Bull ETN|4957.96|675|2019-05-28
601|Krissy O'Henecan|Liberty Global plc|3215.62|924|2020-03-25
602|Maximilianus Ladel|Qwest Corporation|1337.85|760|2020-03-20
603|Heddi Challener|TIER REIT, Inc.|6807.50|178|2019-08-20
604|Emelen Watford|Fresh Del Monte Produce, Inc.|1235.17|727|2019-08-02
605|Crosby Mellonby|AquaBounty Technologies, Inc.|9727.90|221|2019-05-14
606|Pammy Thyer|Salient Midstream & MLP Fund|6037.98|407|2020-06-28
607|Caprice Coode|Independent Bank Corporation|4050.15|418|2019-05-29
608|Thaine Adrian|Liberty Expedia Holdings, Inc.|5555.34|294|2019-04-30
609|Kaycee Giddings|Echelon Corporation|6186.58|60|2019-09-13
610|Becka Chilver|Boston Omaha Corporation|5618.29|252|2019-03-08
611|Melisse Shobrook|Boston Private Financial Holdings, Inc.|1264.80|438|2019-02-11
612|Kris Anton|NanoString Technologies, Inc.|5502.11|691|2020-03-28
613|Rossy Abson|Nautilus Group, Inc. (The)|3288.89|349|2020-05-05
614|Josh Normanville|TrustCo Bank Corp NY|2621.60|909|2019-03-13
615|Celestyna Apperley|Alphabet Inc.|3121.87|348|2019-02-10
616|Gerome Melendez|Stag Industrial, Inc.|6550.87|279|2019-02-19
617|Russ Faires|Korea Electric Power Corporation|7609.19|913|2019-08-18
618|Welch Dreye|Unifi, Inc.|9910.40|167|2019-05-29
619|Marcella Bolin|Strayer Education, Inc.|8594.41|925|2020-08-08
620|Gianna Wanderschek|Black Diamond, Inc.|2754.91|623|2019-08-18
621|Daria Meaker|Unit Corporation|5572.83|801|2019-01-18
622|Van Carlaw|NxStage Medical, Inc.|8312.95|362|2020-01-09
623|Cobby Dominetti|LCNB Corporation|8831.70|436|2020-05-15
624|Barby Ivanishchev|Digital Realty Trust, Inc.|8427.90|629|2020-06-28
625|Deane Wadley|Natl Westminster Pfd|3244.69|795|2019-08-16
626|Susy Studde|Motif Bio plc|8085.00|57|2019-04-18
627|Roman Woofenden|Five Point Holdings, LLC|5377.13|167|2019-08-01
628|Joleen Algore|Nuveen California AMT-Free Quality Municipal Income Fund|4977.89|327|2019-04-09
629|Itch Scohier|Seritage Growth Properties|8772.65|567|2019-04-16
630|Arden Vereker|Waterstone Financial, Inc.|1863.85|175|2019-03-18
631|Karlens Mateiko|Progressive Corporation (The)|4555.44|464|2020-07-22
632|Annmarie Hicklingbottom|ePlus inc.|5423.02|229|2019-06-10
633|Sarine Mowatt|Cabela's Inc|8187.42|611|2020-06-26
634|Cher Micheu|Industrial Services of America, Inc.|5055.24|753|2019-09-27
635|Charmain Scutchings|Healthcare Trust of America, Inc.|4844.00|618|2020-06-30
636|Clarey Matuszak|Insignia Systems, Inc.|8878.59|185|2020-06-11
637|Libby Bogie|HCP, Inc.|9218.58|808|2019-04-16
638|Leo Deighan|Medallion Financial Corp.|5365.44|627|2020-02-04
639|Tate Pegden|Air Products and Chemicals, Inc.|5804.74|376|2019-06-29
640|Domingo Grisewood|Mizuho Financial Group, Inc.|4344.34|484|2019-05-12
641|Cordelia Druce|Blackrock MuniYield Quality Fund II, Inc.|7172.25|433|2019-03-12
642|Sallee Warde|Federal Agricultural Mortgage Corporation|5917.03|520|2020-05-21
643|Rickard Clayworth|Shiloh Industries, Inc.|1983.19|803|2019-01-27
644|Derek Uttermare|The Gabelli Healthcare & Wellness Trust|9318.08|118|2020-06-25
645|Sloane Claye|Skyworks Solutions, Inc.|9905.11|366|2020-02-11
646|Beau Sybry|Jason Industries, Inc.|8210.06|149|2020-03-13
647|Rubia Nattriss|First Trust Energy Infrastructure Fund|1293.38|324|2019-08-05
648|Winnie Struther|Verint Systems Inc.|2587.67|885|2019-04-03
649|Chancey Dibben|Gilead Sciences, Inc.|4748.19|360|2019-12-26
650|Appolonia Gresswell|Lyon William Homes|9169.73|136|2019-10-07
651|Charita Mahady|Marrone Bio Innovations, Inc.|3212.31|915|2019-09-06
652|Vito Waplington|John Hancock Hedged Equity & Income Fund|8690.71|59|2019-04-20
653|Cristiano Czaja|Wintrust Financial Corporation|5604.19|220|2019-07-19
654|Sammy Carnachen|Nuveen High Income December 2019 Target Term Fund|8080.72|396|2019-07-20
655|Reiko Burchfield|VEREIT Inc.|4698.64|655|2019-01-20
656|Xymenes Pideon|OCI Partners LP|9047.81|441|2019-10-24
657|Frasier Commins|MCBC Holdings, Inc.|7445.08|173|2019-12-17
658|Sue Curtin|Sierra Bancorp|6746.80|249|2019-11-10
659|Flori Legrice|Alon USA Partners, LP|4123.96|419|2020-07-02
660|Shadow Winward|Cullen/Frost Bankers, Inc.|2291.23|7|2019-05-22
661|Em Vernall|Nordstrom, Inc.|6581.40|165|2020-05-30
662|Jada Blower|United States Lime & Minerals, Inc.|5133.02|75|2020-01-11
663|Emile Kempstone|Prudential Global Short Duration High Yield Fund, Inc.|5527.25|774|2019-01-10
664|Manolo Cradick|Zions Bancorporation|9258.07|394|2019-04-06
665|Davine Roset|MFA Financial, Inc.|4902.09|530|2020-03-26
666|Timi Sanford|Air Transport Services Group, Inc|5341.14|156|2020-06-29
667|Archibold Snodden|Cooper Tire & Rubber Company|6331.79|334|2020-03-08
668|Jackelyn Mochar|Invesco High Income 2023 Target Term Fund|4287.13|706|2020-06-13
669|Sabra Norssister|Bridge Bancorp, Inc.|3986.47|347|2020-06-01
670|Lazar Monshall|Atlantic Alliance Partnership Corp.|9732.09|223|2019-03-08
671|Coraline Sneddon|Diana Shipping inc.|5465.33|819|2019-05-06
672|Adelina Jancso|Guess?, Inc.|2846.17|190|2019-05-29
673|Tallulah Blazhevich|Employers Holdings Inc|1355.05|345|2020-01-04
674|Horatius Bonfield|Transcat, Inc.|7532.01|27|2020-07-10
675|Kissie Borsnall|Chemed Corp.|4487.94|631|2020-06-10
676|Martie Rittmeyer|Goldman Sachs Group, Inc. (The)|9503.49|16|2019-07-04
677|Rockwell Blincko|SK Telecom Co., Ltd.|9093.75|798|2019-12-05
678|Stevena Swinfen|Quantum Corporation|2541.54|870|2020-03-01
679|Sutton Cicullo|Tri Continental Corporation|8818.65|208|2019-03-18
680|Misty Northill|Hasbro, Inc.|6565.64|190|2019-04-23
681|Reeva Barge|Concert Pharmaceuticals, Inc.|5728.95|575|2020-08-01
682|Karee Gregor|First Trust NASDAQ Technology Dividend Index Fund|9335.31|770|2019-04-05
683|Kylila Trousdell|Eldorado Resorts, Inc.|4698.18|112|2019-02-27
684|Kimball Rice|YPF Sociedad Anonima|4144.42|48|2020-01-02
685|Rheta Hainsworth|Corporate Office Properties Trust|7382.21|476|2019-01-23
686|Maisey Brine|People's United Financial, Inc.|6586.50|199|2019-02-22
687|Tracie Grissett|Blackrock New York Municipal Income Quality Trust|6384.09|859|2019-10-05
688|Shea Cotter|Wesco Aircraft Holdings, Inc.|9352.57|431|2019-07-14
689|Dulcine Skillett|Deere & Company|6706.31|929|2020-06-03
690|Katerine Punch|Barrett Business Services, Inc.|7993.84|263|2019-06-24
691|Luelle Grigorian|PowerShares S&P SmallCap Health Care Portfolio|1629.87|243|2019-12-09
692|Darcey Latta|Public Service Enterprise Group Incorporated|8438.75|368|2020-06-15
693|Letitia Clothier|Constellium N.V.|1334.35|18|2020-06-09
694|Tate Regorz|Huntington Bancshares Incorporated|7324.52|855|2019-02-16
695|Francine Mattersley|iRhythm Technologies, Inc.|8311.32|331|2020-02-27
696|Collen Petracchi|PowerShares KBW Regional Banking Portfolio|6650.09|567|2020-04-29
697|Haily Dorbon|Eli Lilly and Company|2177.03|685|2019-12-20
698|Bobbie Ortiga|Hartford Financial Services Group, Inc. (The)|7458.23|868|2019-03-29
699|Tomlin Handsheart|Taubman Centers, Inc.|8392.39|507|2020-07-02
700|Clio Innes|Cerulean Pharma Inc.|2691.66|855|2020-02-12
701|Mort Fishby|First Hawaiian, Inc.|2269.06|679|2019-05-14
702|Binny Alben|Home Depot, Inc. (The)|7197.74|636|2020-06-01
703|Cathe Cullotey|Imprimis Pharmaceuticals, Inc.|9237.49|163|2019-01-04
704|Perle Slyme|WisdomTree Western Asset Unconstrained Bond Fund|5452.21|97|2020-05-01
705|Michele Snuggs|Salient Midstream & MLP Fund|9747.14|982|2019-04-16
706|Car Lindblom|Urban One, Inc. |6449.32|892|2020-04-18
707|Myron Chasteney|NL Industries, Inc.|6461.11|937|2019-01-11
708|Edik Bentham|Cohen & Steers Total Return Realty Fund, Inc.|7259.13|39|2019-09-12
709|Cleveland Krolak|The Navigators Group, Inc.|2160.28|98|2019-12-17
710|Leora Screas|M/I Homes, Inc.|6525.96|261|2020-03-22
711|Tammie Gepson|Beacon Roofing Supply, Inc.|5648.32|443|2020-04-15
712|Van Alleway|Canterbury Park Holding Corporation|5061.06|100|2020-05-08
713|Kain Asgodby|Suncor Energy  Inc.|8847.08|988|2019-10-17
714|Aimil Tindall|Proteostasis Therapeutics, Inc.|5172.66|368|2019-04-28
715|Gawen Jerrand|Strayer Education, Inc.|5338.45|110|2019-12-14
